cruise,cast,niskin,date,sal00,sal11,sigma_t00,sigma_t11,oxsatmm_kg,sbox0mm_kg,sbox1mm_kg,potemp090c,potemp190c,svcm,svcm1,scan,timej,times,prdm,t090c,t190c,t2_t190c,c0s_m,c1s_m,c2_c1s_m,v0,cstarat0,cstartr0,v1,fleco_afl,v2,altm,v3,v4,sbeox0v,v5,sbeox1v,v6,par,cpar,v7,spar,latitude,longitude,depsm
EN608,18,1,2018-02-03 16:01:29,35.1507,35.1476,26.653,26.6515,261.45445,-70.23,-69.758,12.2555,12.2507,1500.47,1500.45,28474.0,34.66769,1186.375,152.828,12.2757,12.2709,-0.0048,4.048833,4.048047,-0.000786,4.5797,0.4685,88.9479,0.0262,0.3047,0.0283,0.57,0.0,0.0023,-0.0014,0.0024,0.0021,0.1753,0.0038521,0.00055008,0.0,700.43,39.76962,-71.10559,151.60405487850915
EN608,18,2,2018-02-03 16:01:38,35.147,35.1469,26.6521,26.651,261.51678,-70.325,-69.788,12.2453,12.2502,1500.42,1500.44,28694.0,34.667796,1195.542,152.595,12.2655,12.2704,0.0049,4.047457,4.047913,0.000457,4.5787,0.4694,88.9273,0.0278,0.3453,0.6435,12.87,0.0,0.0022,-0.0015,0.0024,0.0021,0.1754,0.0039722,0.00056608,0.0,701.67,39.7696,-71.10562,151.37300623036654
EN608,18,3,2018-02-03 16:01:48,35.1394,35.1397,26.6507,26.6498,261.65648,-70.302,-69.826,12.2222,12.228,1500.36,1500.38,28942.0,34.667915,1205.875,153.871,12.2425,12.2483,0.0058,4.044506,4.045096,0.000589,4.5775,0.4704,88.9053,0.0272,0.3303,0.0328,0.66,0.0,0.0023,-0.0013,0.0025,0.0021,0.1751,0.0031917,0.00045424,0.0,702.71,39.76958,-71.10564,152.63831666757432
EN608,18,4,2018-02-03 16:07:41,35.0582,35.0563,26.6418,26.6403,263.3554,-69.458,-68.988,11.9604,11.9606,1496.87,1496.87,37399.0,34.671994,1558.25,6.353,11.9612,11.9614,0.0002,4.00239,4.002215,-0.000175,4.5624,0.4839,88.6067,0.0299,0.3975,0.0318,0.64,0.0,0.0019,-0.001,0.0024,0.0023,2.4087,178.16,20.211,0.0,881.39,39.7691,-71.10666,6.304357779675952
EN608,18,5,2018-02-03 16:07:50,35.0583,35.0562,26.6414,26.6397,263.34265,-69.428,-68.975,11.9628,11.9632,1496.86,1496.86,37624.0,34.672102,1567.625,5.308,11.9635,11.9639,0.0004,4.002567,4.002392,-0.000175,4.5625,0.4838,88.6082,0.0293,0.3826,0.0254,0.51,0.0,0.002,-0.0009,0.0024,0.0023,2.4649,203.13,22.384,0.0,907.1,39.76908,-71.10668,5.267372252183603
EN608,18,6,2018-02-03 16:08:00,35.0583,35.0562,26.6418,26.6402,263.35621,-69.456,-68.985,11.9603,11.9607,1496.86,1496.86,37856.0,34.672214,1577.292,6.069,11.9611,11.9615,0.0004,4.002365,4.002199,-0.000166,4.5598,0.4861,88.5567,0.0301,0.4038,0.0255,0.51,0.0,0.002,-0.0009,0.0024,0.0023,2.4104,178.84,19.684,0.0,908.57,39.76906,-71.10669,6.022536395750696
EN608,3,1,2018-02-01 03:38:00,32.6663,32.6638,25.9936,25.9916,326.52473,-87.043,-86.854,3.3266,3.3268,1460.94,1460.94,8119.0,32.15138,338.25,9.936,3.3272,3.3273,0.0002,3.002486,3.002298,-0.000188,4.2389,0.7819,82.2438,0.1133,2.482,1.7266,34.53,0.0,0.0013,0.0013,0.0024,0.0024,0.2226,0.12412,1.3103,0.0,9.4731,41.02574,-71.09488,9.858711478467397
EN608,3,2,2018-02-01 03:38:10,32.6668,32.6641,25.994,25.9918,326.52393,-87.091,-86.851,3.3265,3.327,1460.93,1460.93,8353.0,32.151493,348.0,9.671,3.3271,3.3276,0.0005,3.002513,3.002327,-0.000186,4.2387,0.7822,82.239,0.1196,2.6402,1.7363,34.73,0.0,0.0013,0.0013,0.0024,0.0024,0.2209,0.11996,1.2664,0.0,9.4731,41.0257,-71.09478,9.595778984539857
EN608,3,3,2018-02-01 03:39:58,32.6712,32.6689,25.9944,25.9925,326.23665,-86.943,-86.72,3.3607,3.3614,1461.04,1461.04,10950.0,32.152745,456.208,6.802,3.3611,3.3619,0.0007,3.005612,3.005476,-0.000136,4.2389,0.782,82.2424,0.1038,2.2446,1.8617,37.23,0.0,0.0018,0.0018,0.0025,0.0024,0.339,0.48327,5.1015,0.0,9.4731,41.02532,-71.09385,6.749141026059718
EN608,3,4,2018-02-01 03:40:05,32.6724,32.6701,25.9945,25.9927,326.15233,-86.778,-86.592,3.3708,3.3704,1461.08,1461.07,11126.0,32.15283,463.542,6.356,3.3711,3.3708,-0.0003,3.006534,3.006313,-0.000221,4.2378,0.783,82.2218,0.1002,2.1549,1.8735,37.47,0.0,0.0019,0.0019,0.0026,0.0025,0.3315,0.45699,4.824,0.0,9.4731,41.0253,-71.09378,6.306613756114393
EN608,7,1,2018-02-01 17:37:38,32.8069,32.8044,25.8657,25.8636,308.4608,-81.677,-81.481,5.6195,5.6198,1470.62,1470.62,9545.0,32.734464,397.667,10.148,5.6203,5.6206,0.0003,3.209578,3.209378,-0.0002,4.4069,0.6243,85.5486,0.067,1.3264,2.6657,53.31,0.0,0.0015,0.0015,0.0026,0.0026,2.2284,118.29,9.2577,0.0,1279.3,40.69006,-71.09536,10.069365400466525
EN608,7,2,2018-02-01 17:37:46,32.8068,32.8044,25.8656,25.8637,308.46204,-81.773,-81.548,5.6194,5.6196,1470.62,1470.62,9744.0,32.73456,405.958,10.272,5.6202,5.6204,0.0002,3.209562,3.209373,-0.000189,4.3973,0.6332,85.3589,0.0715,1.4373,2.7235,54.47,0.0,0.0016,0.0016,0.0026,0.0025,2.2288,118.07,8.23,0.0,1430.6,40.69002,-71.0953,10.19240148655443
EN608,7,3,2018-02-01 17:39:49,32.8065,32.8041,25.8658,25.8639,308.49123,-81.733,-81.718,5.6159,5.6166,1470.52,1470.51,12681.0,32.735976,528.333,4.767,5.6163,5.6169,0.0006,3.208962,3.208807,-0.000155,4.4005,0.6302,85.4226,0.0535,0.9875,2.9065,58.13,0.0,0.0014,0.0014,0.0021,0.0021,2.7621,408.47,28.019,0.0,1460.7,40.6894,-71.09458,4.73012331229612
EN608,7,4,2018-02-01 17:39:58,32.8064,32.8039,25.8653,25.8633,308.46408,-81.736,-81.629,5.6197,5.6198,1470.52,1470.52,12891.0,32.736077,537.083,4.431,5.62,5.6202,0.0001,3.209259,3.209051,-0.000208,4.403,0.6279,85.4716,0.0524,0.9582,2.9325,58.65,0.0,0.0013,0.0013,0.0021,0.0021,2.8222,469.9,32.23,0.0,1454.6,40.68934,-71.09452,4.39672613366869
EN608,11,1,2018-02-02 07:04:25,33.2084,33.2055,25.9135,25.9112,293.13751,-77.971,-77.79,7.6704,7.6708,1480.25,1480.25,8670.0,33.294725,361.208,74.745,7.6775,7.6779,0.0004,3.428645,3.428414,-0.000232,4.3118,0.7128,83.6773,0.0478,0.8455,0.7455,14.91,0.0,0.0017,0.0017,0.003,0.0029,0.1709,1e-12,7.9761e-12,0.0,12.605,40.36082,-71.10338,74.15643648844056
EN608,11,2,2018-02-02 07:04:33,33.2047,33.2017,25.9124,25.9101,293.22824,-78.09,-77.909,7.6581,7.6576,1480.19,1480.19,8862.0,33.294817,369.208,74.264,7.6652,7.6647,-0.0005,3.427188,3.42686,-0.000328,4.3122,0.7124,83.6847,0.0487,0.8679,0.768,15.36,0.0,0.0016,0.0016,0.0027,0.0026,0.1708,1e-12,7.8992e-12,0.0,12.721,40.3608,-71.10338,73.6793098832298
EN608,11,3,2018-02-02 07:04:40,33.2005,33.1984,25.9111,25.9094,293.33488,-78.09,-77.921,7.6435,7.644,1480.15,1480.15,9027.0,33.294897,376.083,75.294,7.6506,7.6511,0.0005,3.425551,3.425399,-0.000151,4.3129,0.7118,83.6984,0.0465,0.8118,0.6978,13.96,0.0,0.0015,0.0015,0.0024,0.0024,0.1707,1e-12,8.053e-12,0.0,12.489,40.36078,-71.10338,74.70101414530431
EN608,11,4,2018-02-02 07:09:01,33.112,33.1094,25.8888,25.8866,295.80471,-77.903,-77.883,7.3132,7.3145,1477.57,1477.57,15311.0,33.297927,637.917,3.671,7.3135,7.3148,0.0013,3.384403,3.384285,-0.000118,4.4667,0.5697,86.7247,0.0529,0.9738,4.353,87.06,0.0,0.0023,0.0023,0.0029,0.0028,0.5648,1.5251,11.812,0.0,12.953,40.36017,-71.1034,3.6427210891268786
EN608,11,5,2018-02-02 07:09:14,33.113,33.1106,25.8887,25.8867,295.75818,-78.006,-77.852,7.3196,7.3204,1477.6,1477.6,15611.0,33.298072,650.417,4.086,7.32,7.3208,0.0008,3.385089,3.384934,-0.000155,4.4652,0.5711,86.6948,0.0656,1.2903,4.3142,86.28,0.0,0.0023,0.0023,0.0029,0.0028,0.5752,1.5884,12.228,0.0,13.03,40.36014,-71.1034,4.054520127119992
EN608,1,1,2018-01-31 19:34:26,32.3948,32.3924,25.8562,25.8542,335.05669,-89.479,-89.331,2.3815,2.3816,1456.64,1456.63,15884.0,31.815576,661.792,17.465,2.3824,2.3825,0.0001,2.901879,2.901682,-0.000196,3.9522,1.0662,76.6031,0.1412,3.1803,0.135,2.7,0.0,0.0015,0.0015,0.0026,0.0026,0.9104,4.6488,0.19399,0.0,2396.5,41.19634,-70.87844,17.328561156774743
EN608,1,2,2018-01-31 19:34:45,32.394,32.3916,25.8559,25.8538,335.09742,-89.665,-89.386,2.377,2.3784,1456.62,1456.62,16344.0,31.815798,680.958,17.618,2.3779,2.3793,0.0014,2.901446,2.901369,-7.6e-05,3.9578,1.0605,76.7119,0.1725,3.9609,0.123,2.46,0.0,0.0014,0.0014,0.0024,0.0024,0.891,4.3959,0.1834,0.0,2397.0,41.19634,-70.87844,17.48035941489723
EN608,1,3,2018-01-31 19:34:54,32.3971,32.3946,25.8571,25.8551,334.95474,-89.521,-89.372,2.3928,2.3922,1456.7,1456.69,16543.0,31.815894,689.25,18.035,2.3937,2.3931,-0.0006,2.903023,2.902764,-0.000259,3.9894,1.0282,77.3345,0.1497,3.3921,0.079,1.58,0.0,0.0013,0.0013,0.0021,0.0021,0.8497,3.9022,0.16253,0.0,2401.0,41.19634,-70.87844,17.894083507362176
EN608,1,4,2018-01-31 19:37:01,32.384,32.3815,25.8514,25.8494,335.51519,-89.701,-89.502,2.3312,2.3305,1456.32,1456.31,19605.0,31.817371,816.833,12.572,2.3318,2.3312,-0.0007,2.896612,2.896351,-0.000261,3.9822,1.0354,77.1934,0.129,2.8745,0.3928,7.86,0.0,0.0013,0.0013,0.0019,0.0019,1.4852,20.386,0.84595,0.0,2409.5,41.19636,-70.87832,12.473933931239724
EN608,1,5,2018-01-31 19:37:05,32.3843,32.382,25.8515,25.8496,335.50523,-89.668,-89.754,2.3323,2.3337,1456.31,1456.31,19690.0,31.817412,820.375,11.682,2.3329,2.3343,0.0014,2.896682,2.896612,-7e-05,3.9411,1.0777,76.3835,0.1326,2.9635,0.439,8.78,0.0,0.0014,0.0014,0.0019,0.0019,1.5824,25.746,1.0712,0.0,2404.9,41.19636,-70.87831,11.590901267487125
EN608,1,6,2018-01-31 19:37:20,32.3877,32.3854,25.853,25.8513,335.34913,-89.674,-89.53,2.3496,2.3477,1456.4,1456.38,20052.0,31.817586,835.458,11.945,2.3502,2.3483,-0.0018,2.898399,2.898059,-0.00034,3.959,1.0592,76.7369,0.1419,3.1984,0.4358,8.72,0.0,0.0015,0.0015,0.0023,0.0023,1.5657,24.688,1.0209,0.0,2418.6,41.19636,-70.8783,11.851842777264674
EN608,1,7,2018-01-31 19:38:07,32.3818,32.3801,25.8504,25.8488,335.61039,-89.704,-89.569,2.3207,2.324,1456.27,1456.28,21170.0,31.818125,882.042,12.463,2.3213,2.3246,0.0033,2.895558,2.895697,0.000139,3.9847,1.033,77.2409,0.139,3.1249,0.4052,8.1,0.0,0.0014,0.0014,0.0022,0.0022,1.5024,21.19,0.88403,0.0,2396.7,41.19636,-70.87824,12.365787439052745
EN608,1,8,2018-01-31 19:40:35,32.3787,32.3764,25.8494,25.8476,335.77431,-89.611,-89.492,2.3027,2.3026,1456.1,1456.1,24723.0,31.819839,1030.083,7.433,2.303,2.303,-0.0,2.893578,2.893393,-0.000185,3.9953,1.0222,77.4502,0.1227,2.7168,0.6838,13.68,0.0,0.0021,0.0021,0.0029,0.0029,2.2022,110.39,4.5289,0.0,2437.8,41.19636,-70.87806,7.375111884056647
EN608,1,9,2018-01-31 19:40:43,32.3798,32.3767,25.8496,25.8475,335.69353,-89.709,-89.602,2.3118,2.3063,1456.14,1456.11,24917.0,31.819932,1038.167,7.077,2.3122,2.3066,-0.0055,2.894408,2.893699,-0.000709,3.9687,1.0493,76.9276,0.1157,2.543,0.6991,13.98,0.0,0.002,0.002,0.0029,0.0029,2.2674,128.36,5.3176,0.0,2413.9,41.19636,-70.87806,7.021890471275114
EN608,1,10,2018-01-31 19:40:51,32.3796,32.3772,25.8498,25.8478,335.73872,-89.571,-89.416,2.3066,2.3073,1456.12,1456.12,25112.0,31.820027,1046.292,7.452,2.3069,2.3077,0.0007,2.893974,2.893841,-0.000133,3.9899,1.0276,77.3448,0.1163,2.558,0.6737,13.48,0.0,0.0021,0.0021,0.003,0.003,2.1817,105.19,4.3493,0.0,2418.5,41.19636,-70.87804,7.393963571524996
EN608,1,11,2018-01-31 19:44:50,32.3769,32.3762,25.8482,25.8473,335.80374,-89.519,-89.568,2.3,2.3034,1456.02,1456.03,30841.0,31.822789,1285.0,3.017,2.3001,2.3036,0.0035,2.893001,2.893225,0.000223,3.906,1.1139,75.6937,0.0821,1.7026,0.8768,17.54,0.0,0.0023,0.0023,0.0027,0.0026,2.979,668.44,29.037,0.0,2301.9,41.1964,-70.87774,2.9935357054765013
EN608,1,12,2018-01-31 19:44:56,32.3794,32.3776,25.8494,25.8476,335.70769,-89.484,-89.499,2.3105,2.3144,1456.06,1456.08,31004.0,31.822868,1291.792,2.87,2.3106,2.3145,0.0039,2.894063,2.894236,0.000173,3.9092,1.1107,75.7555,0.0898,1.8945,0.8785,17.57,0.0,0.0022,0.0022,0.0028,0.0027,2.8908,546.88,23.891,0.0,2289.0,41.1964,-70.87772,2.847679992810123
EN608,1,13,2018-01-31 19:45:03,32.3795,32.3773,25.8493,25.8475,335.68818,-89.435,-89.407,2.3127,2.313,1456.07,1456.07,31164.0,31.822945,1298.458,2.571,2.3129,2.3132,0.0003,2.894245,2.894091,-0.000154,3.8977,1.1226,75.5295,0.0725,1.4628,0.8897,17.79,0.0,0.0021,0.0021,0.003,0.0029,3.0008,705.78,30.738,0.0,2295.9,41.19642,-70.87772,2.551007167854941
EN608,1,14,2018-01-31 19:45:09,32.3798,32.3771,25.8496,25.8474,335.69807,-89.475,-89.224,2.3115,2.312,1456.07,1456.07,31318.0,31.823019,1304.875,3.006,2.3116,2.3121,0.0005,2.894182,2.894006,-0.000176,3.9145,1.1052,75.8599,0.0821,1.7033,0.8552,17.1,0.0,0.002,0.002,0.0027,0.0027,2.8777,532.16,23.041,0.0,2309.4,41.19642,-70.87772,2.9826213360204337
EN608,1,15,2018-01-31 19:45:17,32.3787,32.3768,25.8492,25.8473,335.75068,-89.525,-89.547,2.3057,2.3094,1456.04,1456.05,31502.0,31.823108,1312.542,2.722,2.3058,2.3096,0.0037,2.8936,2.893753,0.000154,3.9196,1.0998,75.9604,0.0858,1.7936,0.8878,17.76,0.0,0.0023,0.0023,0.0027,0.0027,3.0163,736.1,31.979,0.0,2301.8,41.19642,-70.87772,2.7008319593293115
EN608,1,16,2018-01-31 19:45:23,32.3793,32.3769,25.8494,25.8474,335.71556,-89.608,-89.27,2.3096,2.31,1456.06,1456.06,31654.0,31.823181,1318.875,2.658,2.3097,2.3101,0.0004,2.893972,2.893808,-0.000164,3.936,1.0829,76.284,0.073,1.4741,0.8999,18.0,0.0,0.0021,0.0021,0.0028,0.0027,3.1994,1368.8,59.952,0.0,2284.5,41.19644,-70.8777,2.6373300743573593
EN608,1,17,2018-01-31 19:45:30,32.3791,32.3763,25.8493,25.8474,335.73412,-89.514,-89.415,2.3075,2.3045,1456.05,1456.04,31802.0,31.823253,1325.042,2.945,2.3076,2.3046,-0.003,2.893792,2.893319,-0.000473,3.909,1.1108,75.753,0.0768,1.5706,0.8653,17.3,0.0,0.0023,0.0023,0.0025,0.0025,2.972,656.81,28.41,0.0,2311.9,41.19644,-70.8777,2.9220961857387784
EN608,1,18,2018-01-31 19:45:36,32.3791,32.3762,25.8493,25.8472,335.73234,-89.542,-89.434,2.3077,2.3055,1456.05,1456.04,31952.0,31.823325,1331.292,2.794,2.3078,2.3056,-0.0022,2.893803,2.893384,-0.000419,3.9248,1.0944,76.0638,0.0797,1.6422,0.8883,17.77,0.0,0.0022,0.0022,0.0025,0.0025,2.9958,700.53,30.179,0.0,2320.9,41.19644,-70.8777,2.7722715563550206
EN608,1,19,2018-01-31 19:45:42,32.3791,32.3769,25.8493,25.8474,335.72225,-89.413,-89.427,2.3089,2.3098,1456.05,1456.06,32103.0,31.823398,1337.583,2.747,2.309,2.31,0.001,2.8939,2.893802,-9.8e-05,3.9437,1.075,76.4345,0.0826,1.7145,0.8754,17.51,0.0,0.0021,0.0021,0.0024,0.0024,2.9804,674.91,28.961,0.0,2330.4,41.19644,-70.87768,2.7256373777912675
EN608,1,20,2018-01-31 19:45:50,32.3791,32.3757,25.8493,25.8472,335.73447,-89.454,-89.411,2.3075,2.2994,1456.05,1456.01,32286.0,31.823486,1345.208,2.764,2.3076,2.2995,-0.0081,2.893779,2.892842,-0.000937,3.9753,1.0425,77.0566,0.0791,1.6292,0.8837,17.67,0.0,0.0022,0.0022,0.0025,0.0025,3.0384,772.64,32.738,0.0,2360.0,41.19644,-70.87768,2.742505060626918
EN608,1,21,2018-01-31 19:46:00,32.3784,32.3763,25.849,25.8473,335.76636,-89.514,-89.403,2.3039,2.3052,1456.03,1456.03,32525.0,31.823601,1355.167,2.651,2.3041,2.3054,0.0013,2.893427,2.893367,-6e-05,3.9422,1.0765,76.405,0.0792,1.6304,0.8913,17.83,0.0,0.0022,0.0022,0.0025,0.0025,3.2394,1378.7,58.288,0.0,2366.4,41.19646,-70.87768,2.6303845544923528
EN608,1,22,2018-01-31 19:46:07,32.3784,32.3757,25.8491,25.8471,335.76457,-89.544,-89.473,2.3041,2.3015,1456.03,1456.02,32711.0,31.823691,1362.917,2.633,2.3042,2.3017,-0.0026,2.893448,2.893012,-0.000436,3.9274,1.0918,76.1138,0.0895,1.8864,0.8791,17.58,0.0,0.0021,0.0021,0.0024,0.0024,3.0566,811.56,34.303,0.0,2367.0,41.19646,-70.87768,2.6125246451849726
EN608,1,23,2018-01-31 19:46:14,32.3781,32.3755,25.849,25.847,335.78413,-89.639,-89.489,2.3019,2.3015,1456.02,1456.02,32864.0,31.823765,1369.292,2.719,2.302,2.3016,-0.0004,2.893245,2.893001,-0.000245,3.9355,1.0833,76.2746,0.0871,1.8285,0.9012,18.02,0.0,0.002,0.002,0.0025,0.0024,3.0397,774.92,32.421,0.0,2390.0,41.19646,-70.87767,2.697855308911702
EN608,1,24,2018-01-31 19:46:21,32.378,32.3758,25.8489,25.847,335.78762,-89.589,-89.447,2.3015,2.303,1456.02,1456.03,33038.0,31.823849,1376.542,2.789,2.3017,2.3031,0.0014,2.893207,2.893149,-5.8e-05,3.8928,1.1277,75.4339,0.088,1.8491,0.9009,18.02,0.0,0.002,0.002,0.0024,0.0024,2.942,620.47,25.896,0.0,2396.0,41.19646,-70.87766,2.7673104740345233
EN608,21,1,2018-02-03 22:50:27,35.1094,35.1068,27.491,27.4884,292.98845,-82.771,578.953,7.0557,7.0593,1486.75,1486.76,17949.0,34.951699,747.833,460.198,7.1001,7.1037,0.0036,3.56848,3.568576,9.6e-05,4.6075,0.444,89.4945,0.0134,-0.0142,0.3293,6.59,0.0,0.0022,-0.0032,3.8828,3.8857,0.1691,1e-12,1.061e-11,0.0,9.4344,39.9304,-70.8875,456.1672997685737
EN608,21,2,2018-02-03 22:50:35,35.1092,35.107,27.4903,27.4887,292.96169,-82.852,569.446,7.0597,7.0586,1486.77,1486.76,18133.0,34.951788,755.5,460.451,7.1041,7.103,-0.0011,3.56885,3.568546,-0.000304,4.6071,0.4443,89.4862,0.0134,-0.0142,0.3325,6.65,0.0,0.0022,-0.0032,3.8879,3.8909,0.1697,1e-12,1.0556e-11,0.0,9.4731,39.93038,-70.8875,456.41780590739785
EN608,21,3,2018-02-03 22:56:36,35.2895,35.2882,27.1806,27.1794,274.28522,683.768,398.319,9.9502,9.9516,1495.09,1495.09,26789.0,34.955963,1116.167,300.713,9.9854,9.9868,0.0014,3.849439,3.849446,7e-06,4.6243,0.4292,89.8255,0.0134,-0.0142,1.2469,24.94,0.0,4.9365,4.9433,3.0898,3.092,0.1697,1e-12,1.061e-11,0.0,9.4344,39.9292,-70.88688,298.19376734544875
EN608,21,4,2018-02-03 22:56:42,35.2899,35.2889,27.1806,27.1792,274.26981,683.718,387.364,9.9527,9.9558,1495.09,1495.1,26950.0,34.95604,1122.875,300.602,9.9878,9.991,0.0032,3.84971,3.849912,0.000202,4.6235,0.4299,89.8093,0.0134,-0.0142,0.0391,0.78,0.0,4.9365,4.9433,3.073,3.0751,0.1697,1e-12,1.061e-11,0.0,9.4344,39.92918,-70.88684,298.083777105825
EN608,21,5,2018-02-03 23:07:06,35.6412,35.6405,26.7342,26.7345,252.73276,-67.373,441.991,13.7331,13.7289,1506.1,1506.09,41926.0,34.963262,1746.875,161.085,13.7562,13.752,-0.0042,4.245487,4.245004,-0.000483,4.611,0.4408,89.5642,0.014,0.0007,1.8432,36.86,0.0,0.0021,0.0023,3.6775,3.681,0.1681,1e-12,1.1041e-11,0.0,9.1251,39.92689,-70.8864,159.78940707834113
EN608,21,6,2018-02-03 23:07:15,35.6425,35.6419,26.7369,26.7353,252.7735,-67.408,442.414,13.7247,13.7302,1506.08,1506.1,42130.0,34.963361,1755.375,161.338,13.7479,13.7533,0.0055,4.244808,4.24529,0.000481,4.6109,0.4409,89.5627,0.0134,-0.0142,0.0305,0.61,0.0,0.0022,0.0024,3.74,3.7435,0.1684,1e-12,1.0879e-11,0.0,9.2411,39.92688,-70.8864,160.0402742666922
EN608,21,7,2018-02-03 23:07:23,35.6313,35.6313,26.7422,26.7393,253.13622,-67.481,456.966,13.6581,13.672,1505.85,1505.9,42333.0,34.963459,1763.833,161.558,13.6812,13.6951,0.014,4.237027,4.238416,0.001389,4.6092,0.4424,89.5289,0.0139,-0.0018,0.0279,0.56,0.0,0.0021,0.0023,3.7229,3.7264,0.1681,1e-12,1.0987e-11,0.0,9.1638,39.92686,-70.8864,160.25841939854294
