cruise,date,lter_station,cast,niskin,time_in,time_out,replicate,vol_filtered,filter_mesh_size,filter_type,vol_extracted_ml,solvent,dilution_during_reading,chl_cal_filename,tau_calibration,fd_calibration,rb,ra,blank,rb_blank,ra_blank,chl,phaeo,cal_date,personnel_filter,personnel_read,fluorometer,comments
EN608,2018-01-31,L1,1,5,20180131 22:00,20180202 05:30,a,200,>5,25mm PCTE,7.5,Acetone,1,Chl_Cal_20180126_Acetone_10AU.xlsx,2.0194,1.0157,177.0,91.4,0.5865,176.4135,90.8135,6.458746028840494,0.5263034377531326,20180126,Ian Bishop,"Ian Bishop, Emily Peacock",RV Eandeavor Turner 10AU,
EN608,2018-01-31,L1,1,5,20180131 22:00,20180202 05:30,b,200,>5,25mm PCTE,7.5,Acetone,1,Chl_Cal_20180126_Acetone_10AU.xlsx,2.0194,1.0157,170.0,88.0,0.5865,169.4135,87.4135,6.187116522954678,0.5364171096889456,20180126,Ian Bishop,"Ian Bishop, Emily Peacock",RV Eandeavor Turner 10AU,
EN608,2018-01-31,L1,1,5,20180131 22:00,20180202 05:30,a,200,>20,25mm PCTE,7.5,Acetone,1,Chl_Cal_20180126_Acetone_10AU.xlsx,2.0194,1.0157,140.0,70.1,0.5865,139.4135,69.5135,5.274139572616244,0.0725901107023787,20180126,Ian Bishop,"Ian Bishop, Emily Peacock",RV Eandeavor Turner 10AU,
EN608,2018-01-31,L1,1,5,20180131 22:00,20180202 05:30,b,200,>20,25mm PCTE,7.5,Acetone,1,Chl_Cal_20180126_Acetone_10AU.xlsx,2.0194,1.0157,139.0,69.4,0.5865,138.4135,68.8135,5.2515037804590925,0.0413844076345324,20180126,Ian Bishop,"Ian Bishop, Emily Peacock",RV Eandeavor Turner 10AU,
EN608,2018-01-31,L1,1,17,20180131 22:00,20180202 05:30,a,200,>5,25mm PCTE,7.5,Acetone,1,Chl_Cal_20180126_Acetone_10AU.xlsx,2.0194,1.0157,151.0,78.2,0.5865,150.4135,77.6135,5.492952230135374,0.4768004693582531,20180126,Ian Bishop,"Ian Bishop, Emily Peacock",RV Eandeavor Turner 10AU,
EN608,2018-01-31,L1,1,17,20180131 22:00,20180202 05:30,b,200,>5,25mm PCTE,7.5,Acetone,1,Chl_Cal_20180126_Acetone_10AU.xlsx,2.0194,1.0157,150.0,79.3,0.5865,149.4135,78.7135,5.334501685035316,0.7198590783833096,20180126,Ian Bishop,"Ian Bishop, Emily Peacock",RV Eandeavor Turner 10AU,
EN608,2018-01-31,L1,1,17,20180131 22:00,20180202 05:30,a,200,>20,25mm PCTE,7.5,Acetone,1,Chl_Cal_20180126_Acetone_10AU.xlsx,2.0194,1.0157,126.0,66.7,0.5865,125.4135,66.1135,4.474341583063566,0.6108722663050588,20180126,Ian Bishop,"Ian Bishop, Emily Peacock",RV Eandeavor Turner 10AU,
EN608,2018-01-31,L1,1,17,20180131 22:00,20180202 05:30,b,200,>20,25mm PCTE,7.5,Acetone,1,Chl_Cal_20180126_Acetone_10AU.xlsx,2.0194,1.0157,131.0,63.3,0.5865,130.4135,62.713499999999996,5.1081437634638025,-0.2844457480451778,20180126,Ian Bishop,"Ian Bishop, Emily Peacock",RV Eandeavor Turner 10AU,
EN608,2018-02-18,L2,4,12,20180202  07:30,20180203 07:00,a,200,>5,25mm PCTE,7.5,Acetone,1,Chl_Cal_20180126_Acetone_10AU.xlsx,2.0194,1.0157,102.0,53.2,0.5865,101.4135,52.6135,3.682088857563272,0.3647532981803533,20180126,Ian Bishop,"Ian Bishop, Emily Peacock",RV Eandeavor Turner 10AU,Also read on Sosik aquaflor
EN608,2018-02-18,L2,4,12,20180202  07:30,20180203 07:00,b,200,>5,25mm PCTE,7.5,Acetone,1,Chl_Cal_20180126_Acetone_10AU.xlsx,2.0194,1.0157,97.6,51.0,0.5865,97.0135,50.4135,3.5160930484108293,0.36153297948279556,20180126,Ian Bishop,"Ian Bishop, Emily Peacock",RV Eandeavor Turner 10AU,Also read on Sosik aquaflor
