cruise,date,lter_station,cast,niskin,time_in,time_out,replicate,vol_filtered,filter_size,vol_extracted,sample,ninety_percent_acetone,dilution_during_reading,chl_cal_filename,tau_calibration,fd_calibration,rb,ra,blank,rb_blank,ra_blank,chl,phaeo,cal_date,personnel_filter,personnel_read,fluorometer,comments,comments_2,freeze,filter_mesh_size
EN608,2018-01-31 00:00:00,L1,1,2,2018-01-31 22:00:00,2018-02-02 00:05:30,a,282.0,0,7.0,1.0,0.0,1.0,Cal_012618_12mm,1.9020155646116341,0.4842368919391791,516.8,298.9,1.0526666666666666,515.7473333333332,297.8473333333333,5.522860458069147,1.2866295632915763,2018-01-26 00:00:00,Taylor,Emily & Ian,Aquafluor,,,False,WSW
EN608,2018-01-31 00:00:00,L1,1,2,2018-01-31 22:00:00,2018-02-02 00:05:30,b,282.0,0,7.0,1.0,0.0,1.0,Cal_012618_12mm,1.9020155646116341,0.4842368919391791,561.5,326.7,1.0526666666666666,560.4473333333333,325.64733333333334,5.951205303141973,1.4938580519640965,2018-01-26 00:00:00,Taylor,Emily & Ian,Aquafluor,,,False,WSW
EN608,2018-01-31 00:00:00,L1,1,5,2018-01-31 22:00:00,2018-02-02 00:05:30,a,287.0,0,7.0,1.0,0.0,1.0,Cal_012618_12mm,1.9020155646116341,0.4842368919391791,493.5,295.2,1.0526666666666666,492.44733333333335,294.14733333333334,4.938519420114102,1.6692213809073342,2018-01-26 00:00:00,Taylor,Emily & Ian,Aquafluor,,,False,WSW
EN608,2018-01-31 00:00:00,L1,1,5,2018-01-31 22:00:00,2018-02-02 00:05:30,b,285.0,0,7.0,1.0,0.0,1.0,Cal_012618_12mm,1.9020155646116341,0.4842368919391791,514.4,298.7,1.0526666666666666,513.3473333333333,297.64733333333334,5.409551173919394,1.3237356663477136,2018-01-26 00:00:00,Taylor,Emily & Ian,Aquafluor,,,False,WSW
EN608,2018-01-31 00:00:00,L1,1,5,2018-01-31 22:00:00,2018-02-02 00:05:30,a,285.0,0,7.0,1.0,0.0,1.0,Cal_012618_12mm,1.9020155646116341,0.4842368919391791,89.21,56.63,1.0526666666666666,88.15733333333333,55.57733333333334,0.8170754624306622,0.4401779554300894,2018-01-26 00:00:00,Taylor,Emily & Ian,Aquafluor,,,False,<10
EN608,2018-01-31 00:00:00,L1,1,5,2018-01-31 22:00:00,2018-02-02 00:05:30,b,283.0,0,7.0,1.0,0.0,1.0,Cal_012618_12mm,1.9020155646116341,0.4842368919391791,98.44,62.24,1.0526666666666666,97.38733333333332,61.18733333333334,0.9142776081379614,0.479665569425471,2018-01-26 00:00:00,Taylor,Emily & Ian,Aquafluor,,,False,<10
EN608,2018-01-31 00:00:00,L1,1,9,2018-01-31 22:00:00,2018-02-02 00:05:30,a,288.0,0,7.0,1.0,0.0,1.0,Cal_012618_12mm,1.9020155646116341,0.4842368919391791,508.7,296.8,1.0526666666666666,507.6473333333333,295.74733333333336,5.258894003370052,1.3617209350811283,2018-01-26 00:00:00,Taylor,Emily & Ian,Aquafluor,,,False,WSW
EN608,2018-01-31 00:00:00,L1,1,9,2018-01-31 22:00:00,2018-02-02 00:05:30,b,288.0,0,7.0,1.0,0.0,1.0,Cal_012618_12mm,1.9020155646116341,0.4842368919391791,530.0,307.7,1.0526666666666666,528.9473333333333,306.64733333333334,5.516999230529318,1.3476236657139344,2018-01-26 00:00:00,Taylor,Emily & Ian,Aquafluor,,,False,WSW
EN608,2018-01-31 00:00:00,L1,1,19,2018-01-31 22:00:00,2018-02-02 00:05:30,a,283.0,0,7.0,1.0,0.0,1.0,Cal_012618_12mm,1.9020155646116341,0.4842368919391791,520.7,311.9,1.0526666666666666,519.6473333333333,310.8473333333333,5.2735128336797334,1.8080757232730018,2018-01-26 00:00:00,Taylor,Emily & Ian,Aquafluor,,,False,WSW
EN608,2018-01-31 00:00:00,L1,1,19,2018-01-31 22:00:00,2018-02-02 00:05:30,b,283.0,0,7.0,1.0,0.0,1.0,Cal_012618_12mm,1.9020155646116341,0.4842368919391791,524.3,309.9,1.0526666666666666,523.2473333333332,308.8473333333333,5.414948043778423,1.621077384283908,2018-01-26 00:00:00,Taylor,Emily & Ian,Aquafluor,,,False,WSW
EN608,2018-01-31 00:00:00,L1,1,19,2018-01-31 22:00:00,2018-02-02 00:05:30,a,282.0,0,7.0,1.0,0.0,1.0,Cal_012618_12mm,1.9020155646116341,0.4842368919391791,73.0,47.69,1.0526666666666666,71.94733333333333,46.63733333333333,0.6415034336564028,0.4247356103601309,2018-01-26 00:00:00,Taylor,Emily & Ian,Aquafluor,,,False,<10
EN608,2018-01-31 00:00:00,L1,1,19,2018-01-31 22:00:00,2018-02-02 00:05:30,b,282.0,0,7.0,1.0,0.0,1.0,Cal_012618_12mm,1.9020155646116341,0.4842368919391791,69.83,46.56,1.0526666666666666,68.77733333333333,45.50733333333334,0.5897979020618129,0.4506066863024816,2018-01-26 00:00:00,Taylor,Emily & Ian,Aquafluor,,,False,<10
EN608,2018-02-01 00:00:00,L2,4,12,2018-02-01 07:30:00,2018-02-02 07:00:00,a,282.0,0,7.0,1.0,0.0,1.0,Cal_012618_12mm,1.9020155646116341,0.4842368919391791,367.3,212.6,1.0526666666666666,366.24733333333336,211.5473333333333,3.921002812589708,0.9154663921442752,2018-01-26 00:00:00,Emily,Emily & Ian,Aquafluor,,,False,WSW
EN608,2018-02-01 00:00:00,L2,4,12,2018-02-01 07:30:00,2018-02-02 07:00:00,b,282.0,0,7.0,1.0,0.0,1.0,Cal_012618_12mm,1.9020155646116341,0.4842368919391791,351.5,203.7,1.0526666666666666,350.4473333333333,202.6473333333333,3.7461164557256543,0.8868778328092771,2018-01-26 00:00:00,Emily,Emily & Ian,Aquafluor,,,False,WSW
EN608,2018-02-01 00:00:00,L2,4,12,2018-02-01 07:30:00,2018-02-02 07:00:00,a,283.0,0,7.0,1.0,0.0,1.0,Cal_012618_12mm,1.9020155646116341,0.4842368919391791,71.95,45.61,1.0526666666666666,70.89733333333334,44.55733333333333,0.6652506132141964,0.34983514762551504,2018-01-26 00:00:00,Emily,Emily & Ian,Aquafluor,,,False,<10
