cruise,lter_station,cast,niskin,date,latitude,longitude,depth
EN608,d11,18,1,2018-02-03 16:01:29,39.76962,-71.10559,151.60405487850915
EN608,d11,18,2,2018-02-03 16:01:38,39.7696,-71.10562,151.37300623036654
EN608,d11,18,3,2018-02-03 16:01:48,39.76958,-71.10564000000001,152.63831666757432
EN608,d11,18,4,2018-02-03 16:07:41,39.7691,-71.10665999999999,6.304357779675952
EN608,d11,18,5,2018-02-03 16:07:50,39.769079999999995,-71.10668000000001,5.267372252183604
EN608,d11,18,6,2018-02-03 16:08:00,39.769059999999996,-71.10669,6.022536395750697
EN608,d2,3,1,2018-02-01 03:38:00,41.02574,-71.09488,9.858711478467397
EN608,d2,3,2,2018-02-01 03:38:10,41.0257,-71.09478,9.595778984539855
EN608,d2,3,3,2018-02-01 03:39:58,41.02532,-71.09385,6.749141026059718
EN608,d2,3,4,2018-02-01 03:40:05,41.0253,-71.09378000000001,6.306613756114392
EN608,d4,7,1,2018-02-01 17:37:38,40.690059999999995,-71.09536,10.069365400466523
EN608,d4,7,2,2018-02-01 17:37:46,40.690020000000004,-71.0953,10.192401486554429
EN608,d4,7,3,2018-02-01 17:39:49,40.6894,-71.09458000000001,4.7301233122961195
EN608,d4,7,4,2018-02-01 17:39:58,40.68934,-71.09451999999999,4.39672613366869
EN608,d6,11,1,2018-02-02 07:04:25,40.360820000000004,-71.10338,74.15643648844056
EN608,d6,11,2,2018-02-02 07:04:33,40.3608,-71.10338,73.6793098832298
EN608,d6,11,3,2018-02-02 07:04:40,40.36078,-71.10338,74.70101414530431
EN608,d6,11,4,2018-02-02 07:09:01,40.360170000000004,-71.1034,3.642721089126879
EN608,d6,11,5,2018-02-02 07:09:14,40.36014,-71.1034,4.054520127119992
EN608,L1,1,1,2018-01-31 19:34:26,41.19634,-70.87844,17.328561156774747
EN608,L1,1,2,2018-01-31 19:34:45,41.19634,-70.87844,17.48035941489723
EN608,L1,1,3,2018-01-31 19:34:54,41.19634,-70.87844,17.894083507362176
EN608,L1,1,4,2018-01-31 19:37:01,41.19636,-70.87832,12.473933931239724
EN608,L1,1,5,2018-01-31 19:37:05,41.19636,-70.87831,11.590901267487125
EN608,L1,1,6,2018-01-31 19:37:20,41.19636,-70.8783,11.851842777264675
